filename,artist,bpm,key,camelot,energy,genres,format,path
SERGIK - Do It Right (Peggy Gou Remix).wav,Unknown Artist,147.7,D minor,7A,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Do It Right (Peggy Gou Remix).wav
SERGIK - Illusions.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Illusions.wav
SERGIK - The Seed.wav,Unknown Artist,80.7,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - The Seed.wav
SERGIK - BS Aside.wav,Unknown Artist,123.0,A major,11B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - BS Aside.wav
SERGIK X OLEA - Bad Water.wav,Unknown Artist,86.1,A major,11B,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK X OLEA - Bad Water.wav
SERGIK x Breauxx - Walk Dat Walk.wav,Unknown Artist,86.1,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxx - Walk Dat Walk.wav
SERGIK - Gypsy - House.wav,Unknown Artist,152.0,D minor,7A,7,house,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Gypsy - House.wav
SERGIK - Subliminal acid.wav,Unknown Artist,123.0,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Subliminal acid.wav
Sergik - Its On till Dawn.wav,Unknown Artist,86.1,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Its On till Dawn.wav
SERGIK - Bad Decisions.wav,Unknown Artist,123.0,A minor,8A,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bad Decisions.wav
SERGIK x Slick Floyd - Bout Dat.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Slick Floyd - Bout Dat.wav
SERGIK x Javi - Smoke Break at Da Crib VIP1.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Javi - Smoke Break at Da Crib VIP1.wav
SERGIK - Temptations.wav,Unknown Artist,123.0,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Temptations.wav
SERGIK - Reverie.wav,Unknown Artist,123.0,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Reverie.wav
SERGIK x SRIJA - Disco Power.wav,Unknown Artist,129.2,D major,10B,6,disco,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x SRIJA - Disco Power.wav
SERGIK x Sean Watson x NOOD - Aqua.wav,Unknown Artist,86.1,A major,11B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Watson x NOOD - Aqua.wav
Sergik - Shifting.wav,Unknown Artist,86.1,B minor,10A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Shifting.wav
SERGIK - Giddup - 125BPM CMaj.wav,Unknown Artist,123.0,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Giddup - 125BPM CMaj.wav
SERGIK x Cy Heck - On A Diet V2.wav,Unknown Artist,86.1,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Cy Heck - On A Diet V2.wav
