filename,artist,bpm,key,camelot,energy,genres,format,path
BABYBEMINE RIGHT NOW.mp3,Unknown Artist,112.3,A minor,8A,5,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/BABYBEMINE RIGHT NOW.mp3
DISCO BASS A.wav,Unknown Artist,80.7,A minor,8A,3,disco,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/DISCO BASS A.wav
oldfocks nu samples.mp3,Unknown Artist,80.7,D major,10B,5,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/oldfocks nu samples.mp3
Dreaming Jet 4.mp3,Unknown Artist,129.2,D minor,7A,9,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dreaming Jet 4.mp3
plain jane xeno flip newest remaster.wav,Unknown Artist,80.7,A minor,8A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/plain jane xeno flip newest remaster.wav
Janis and The Planets x SERGIK - Searching.wav,Unknown Artist,92.3,F major,7B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Janis and The Planets x SERGIK - Searching.wav
8.5.24 V2.0 groovin 120 bpm Note G.aif,Unknown Artist,86.1,D major,10B,5,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/8.5.24 V2.0 groovin 120 bpm Note G.aif
Lazy Afternoon (0).wav,Unknown Artist,136.0,A minor,8A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Lazy Afternoon (0).wav
Hip Hop 1.mp3,Unknown Artist,143.6,G# minor,1A,6,hiphop,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 1.mp3
Dream Street (0).wav,Unknown Artist,80.7,C# minor,12A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dream Street (0).wav
5.24.24 2.0 LOVE 120 bpm A.aif,Unknown Artist,117.5,A major,11B,5,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/5.24.24 2.0 LOVE 120 bpm A.aif
Always Constant.wav,Unknown Artist,89.1,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Always Constant.wav
blew up before it even started 12 smx.wav,Unknown Artist,143.6,C major,8B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/blew up before it even started 12 smx.wav
SERPANT.aif,Unknown Artist,136.0,A minor,8A,6,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERPANT.aif
01 Arza x Y2 (Prince) Prod Dame x.mp3,Unknown Artist,92.3,D minor,7A,7,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/01 Arza x Y2 (Prince) Prod Dame x.mp3
Andino x SERGIK - Coming Thru 12.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Andino x SERGIK - Coming Thru 12.wav
SLAPSTICK BABY.mp3,Unknown Artist,107.7,D major,10B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SLAPSTICK BABY.mp3
Dont Stop FINAL.wav,Unknown Artist,129.2,D major,10B,4,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dont Stop FINAL.wav
Darker side of the street.mp3,Unknown Artist,123.0,B minor,10A,5,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Darker side of the street.mp3
Night at the roxbury (Bass house) (Jcreate).wav,Unknown Artist,86.1,A minor,8A,6,house,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Night at the roxbury (Bass house) (Jcreate).wav
tester - Dido - Thank You (Breauxx Remix).mp3,Unknown Artist,123.0,A major,11B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/tester - Dido - Thank You (Breauxx Remix).mp3
so here you go.wav,Unknown Artist,86.1,D major,10B,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/so here you go.wav
Lose Control ANAMORPHIC Remix V17.wav,Unknown Artist,129.2,A major,11B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Lose Control ANAMORPHIC Remix V17.wav
BAGGINS - GIVING IT (Silent Jay x Sergik Remix).wav,Unknown Artist,129.2,A minor,8A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/BAGGINS - GIVING IT (Silent Jay x Sergik Remix).wav
HOP BUNNY HOP.wav,Unknown Artist,92.3,E major,12B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/HOP BUNNY HOP.wav
edit mushrooms 86bpm.mp3,Unknown Artist,86.1,B minor,10A,7,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/edit mushrooms 86bpm.mp3
versace mp3.mp3,Unknown Artist,89.1,F# minor,11A,7,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/versace mp3.mp3
