filename,artist_folder,path,size_mb,format,genres,bpm,is_sergik
SERGIK - Happiness.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Happiness.wav,66.44,wav,,,True
Dream Edge_2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dream Edge_2.mp3,0.11,mp3,,,False
Trip Hop 3.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Trip Hop 3.mp3,6.41,mp3,,,False
SERGIK x LODIN - Mercy (Club Master).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Mercy (Club Master).wav,74.84,wav,,,True
SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,68.02,wav,techno,130,True
BeJanis x Sergik's Secret - Soul Infinite.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/BeJanis x Sergik's Secret - Soul Infinite.wav,76.5,wav,soul,,False
SERGIK x Sean Hart x Sean Watson - Escapade.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart x Sean Watson - Escapade.wav,88.09,wav,,,True
SERGIK - Astro Spore.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Astro Spore.wav,44.35,wav,,,True
Old Fellas 4 (Sin Drum).mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Old Fellas 4 (Sin Drum).mp3,8.53,mp3,,,False
SERGIK - Something Sick.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Something Sick.wav,74.69,wav,,,True
SERGIK - Radiowave Contact.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Radiowave Contact.wav,67.51,wav,,,True
SERGIK x JIMII - Do it Yourself.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x JIMII - Do it Yourself.wav,61.03,wav,,,True
SERGIK x Crosstick - Katana Ghost.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Crosstick - Katana Ghost.wav,65.44,wav,,,True
8.12 - haus.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/8.12 - haus.mp3,4.84,mp3,,,False
SERGIK - Cosmic Cadillac.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Cosmic Cadillac.wav,65.32,wav,,,True
OG Coconut - sturdy_uh.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/OG Coconut - sturdy_uh.wav,28.84,wav,,,False
Cold Sweat.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cold Sweat.wav,45.82,wav,,,False
SERIK x Stan The Guitarman - Well Known Treat.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERIK x Stan The Guitarman - Well Known Treat.wav,71.98,wav,,,False
SERGIK  - It Is What It Is.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK  - It Is What It Is.wav,64.32,wav,,,True
SERGIK - Dat Feelin.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dat Feelin.wav,70.18,wav,,,True
Ease (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Ease (0).wav,30.71,wav,,,False
SERGIK - Crawling Vines.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Crawling Vines.wav,61.69,wav,,,True
SERGIK - Musik Is The Answr.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Musik Is The Answr.wav,55.68,wav,,,True
SHAKE THAT ASS FUNKERSIZE.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SHAKE THAT ASS FUNKERSIZE.wav,140.92,wav,,,False
SERGIK x OffMedz_ - Around the World.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OffMedz_ - Around the World.wav,50.87,wav,,,True
SERGIK - After Party.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - After Party.wav,61.04,wav,,,True
SERGIK - All Days.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - All Days.wav,61.52,wav,,,True
SERGIK - GET ON MY VIBE.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - GET ON MY VIBE.wav,39.68,wav,,,True
808 start up!.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/808 start up!.mp3,4.58,mp3,,,False
SERGIK - Take A Walk.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Take A Walk.wav,60.12,wav,,,True
DURO - no breakdown no vox 11.30.22.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/DURO - no breakdown no vox 11.30.22.mp3,7.2,mp3,,,False
SERGIK - Happiness 2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Happiness 2.wav,63.28,wav,,,True
SERGIK x Silent Jay x Van - Viva Ponderosa.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay x Van - Viva Ponderosa.wav,38.45,wav,,,True
SERGIK - Pop Musik.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Pop Musik.wav,62.26,wav,,,True
SERGIK - Hustle Funkshway V2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hustle Funkshway V2.wav,75.57,wav,funk,,True
SERGIK - Money Talk Bs Walk.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Money Talk Bs Walk.wav,59.1,wav,,,True
Tang Wu (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Tang Wu (0).wav,21.66,wav,,,False
SERGIK - Bouncy Bop.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bouncy Bop.wav,36.47,wav,,,True
Optikz x SERGIK(Vips) - Crowd Control - Trap.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Optikz x SERGIK(Vips) - Crowd Control - Trap.wav,51.53,wav,hiphop,,False
SERGIK - Game.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Game.wav,53.67,wav,,,True
SERGIK - After After (All Around Flip).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - After After (All Around Flip).wav,60.56,wav,,,True
SERGIK - Disco 82.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Disco 82.wav,60.02,wav,disco,,True
SERGIK - Feeling Lit.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Feeling Lit.wav,50.87,wav,,,True
9.22.24 Empty 120 BPM Note C.aif,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/9.22.24 Empty 120 BPM Note C.aif,46.14,aif,,120,False
Goin Backwards.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Goin Backwards.mp3,6.28,mp3,,,False
SERGIK - Rise n Shine.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rise n Shine.wav,54.32,wav,,,True
SERGIK - We Do This.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - We Do This.wav,68.13,wav,,,True
