filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path,emotional_category,valence,arousal,emotions,psychological_effect,focus,relaxation,motivation,timbre,texture,spatial,dynamics,primary_intent,use_cases
SERGIK - One Time.wav,Music,92.3,D major,10B,5,Chorus -> Drop,237.55,44100,24,2,59.94,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - One Time.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK - Last Night_.wav,Music,129.2,D major,10B,8,Chorus -> Drop,217.14,44100,24,2,54.79,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Last Night_.wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
Clear Dessert Skies Ft. Mewgun (guitar).mp3,Music,86.1,A major,11B,5,Drop,259.81,44100,0,2,9.91,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Clear Dessert Skies Ft. Mewgun (guitar).mp3,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK - Vibracion.wav,Music,86.1,A major,11B,6,Chorus -> Drop,216.0,44100,24,2,54.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Vibracion.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK x Skeezy- Brain Alter.wav,Music,129.2,A major,11B,7,Drop,317.48,44100,0,2,53.41,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Skeezy- Brain Alter.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
space dust.wav,Music,123.0,C minor,5A,6,Chorus -> Drop,175.63,44100,0,2,59.09,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/space dust.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
Dunes of Dawn & Dilon Karim - Thought Process (DEMO).wav,Music,143.6,D major,10B,6,Intro -> Chorus -> Drop,381.25,44100,24,2,96.21,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dunes of Dawn & Dilon Karim - Thought Process (DEMO).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,workout,"gym,running,cycling,HIIT"
SERGIK - Free v2.wav,Music,86.1,A major,11B,6,Drop,259.05,44100,24,2,65.37,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Free v2.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Floatin.wav,Music,86.1,D major,10B,6,Drop -> Chorus,269.51,44100,0,2,45.34,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Floatin.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Arza - Dark Triad 120bpm D min.wav,Music,92.3,D minor,7A,3,Drop -> Chorus -> Drop,96.0,48000,0,2,35.16,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Arza - Dark Triad 120bpm D min.wav,calm,0.6,0.2,"peaceful,serene,meditative",meditation,0.9,0.95,0.1,warm,rich,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK - Like That.wav,Music,86.1,A major,11B,7,Chorus -> Drop -> Chorus,301.94,44100,24,2,76.19,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Like That.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK x L9V - City Circus.wav,Music,86.1,A minor,8A,6,Chorus -> Drop,221.54,44100,24,2,55.9,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x L9V - City Circus.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Ego Trippin Master.wav,Music,89.1,A minor,8A,6,Intro -> Drop -> Outro,259.05,44100,0,2,43.58,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Ego Trippin Master.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - On the Go.wav,Music,129.2,D major,10B,7,Chorus -> Drop,166.3,44100,0,2,27.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On the Go.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK x FM - Dog n Me.wav,Music,86.1,G major,9B,6,Drop,249.68,44100,24,2,63.0,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x FM - Dog n Me.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
I'll wait Hip Hop Type Beat.wav,Music,92.3,D major,10B,6,Drop,61.71,44100,0,2,10.38,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/I'll wait Hip Hop Type Beat.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Melt.wav,Music,86.1,A major,11B,6,Chorus -> Drop -> Chorus,240.0,44100,24,2,60.56,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Melt.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Why Not.wav,Music,89.1,D major,10B,6,Drop,267.07,48000,24,2,73.35,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Why Not.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Mike Crowe Mycology Series V1 - Sounds by SERGIK.wav,Music,129.2,D major,10B,5,Intro -> Drop,255.48,44100,24,2,64.47,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Mike Crowe Mycology Series V1 - Sounds by SERGIK.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
in the town (0).wav,Music,123.0,B minor,10A,6,Intro -> Chorus -> Drop,232.07,44100,0,2,39.04,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/in the town (0).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
Lucy Lights.wav,Music,112.3,A major,11B,5,Intro -> Drop,174.16,44100,0,2,58.6,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lucy Lights.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Voyager.wav,Music,83.4,E major,12B,6,Intro -> Drop,256.0,44100,24,2,64.6,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Voyager.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - The Bomb Tech 130 bpm.wav,Music,86.1,A major,11B,6,Drop -> Chorus,226.15,44100,24,2,57.07,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - The Bomb Tech 130 bpm.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Life.wav,Music,123.0,C# minor,12A,6,Intro -> Drop,211.3,44100,24,2,53.32,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Life.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Isaiah - Wont Stop 2.wav,Music,92.3,E minor,9A,6,Intro -> Drop,240.0,48000,24,2,65.92,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Isaiah - Wont Stop 2.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Can't You See.wav,Music,129.2,A major,11B,7,Drop,243.81,44100,0,2,41.02,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Can't You See.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
sine_init v2.wav,Music,92.3,B minor,10A,5,Drop,274.29,44100,0,2,46.14,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/sine_init v2.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK - Elevator.wav,Music,129.2,D major,10B,7,Intro -> Drop,226.77,44100,24,2,57.22,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Elevator.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Bye Spring (hip Hop).wav,Music,123.0,D minor,7A,6,Intro -> Verse -> Drop,176.77,44100,24,2,44.61,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bye Spring (hip Hop).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Bender.wav,Music,86.1,D major,10B,8,Intro -> Chorus -> Drop,243.81,44100,24,2,61.52,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bender.wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Dont Mind Me.wav,Music,117.5,D minor,7A,7,Intro -> Drop,264.41,44100,24,2,66.72,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dont Mind Me.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Melt 2.wav,Music,86.1,D major,10B,6,Chorus -> Drop,243.81,44100,24,2,61.52,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Melt 2.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SnoopCat.wav,Music,92.3,F# minor,11A,6,Drop,190.27,44100,0,2,64.02,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SnoopCat.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Slick Floyd x SERGIK x Silent Jay - Sonic Movement FINAL.wav,Music,129.2,D major,10B,6,Drop,260.95,48000,24,2,71.67,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Slick Floyd x SERGIK x Silent Jay - Sonic Movement FINAL.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Sean Watson Ft. Janis - A Good Day v2.wav,Music,92.3,D major,10B,6,Chorus -> Drop,301.09,44100,24,2,75.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Watson Ft. Janis - A Good Day v2.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Floating the city (0).wav,Music,123.0,D minor,7A,6,Chorus -> Drop,170.04,44100,0,2,57.21,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Floating the city (0).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK -Crowd Control (Amerika SRGFLiP) 1.wav,Music,86.1,A minor,8A,7,Intro -> Verse -> Drop,195.0,44100,24,2,49.21,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK -Crowd Control (Amerika SRGFLiP) 1.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
OPTIKZ SWXTCHBLADE 174 E' (M1).aif,Music,89.1,A minor,8A,7,Intro -> Drop,177.93,44100,16,2,29.93,aif,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/OPTIKZ SWXTCHBLADE 174 E' (M1).aif,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Rules Dont Apply.wav,Music,123.0,D major,10B,7,Drop,220.65,48000,24,2,60.6,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rules Dont Apply.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK ft. Residuo - Gottalotta.wav,Music,123.0,D major,10B,7,Drop,251.61,44100,24,2,63.49,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK ft. Residuo - Gottalotta.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
i do remember logan v2 3.wav,Music,117.5,E major,12B,5,Drop,272.0,44100,0,2,45.76,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/i do remember logan v2 3.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Rather Dance.wav,Music,129.2,D minor,7A,5,Drop -> Chorus,241.88,44100,24,2,61.04,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rather Dance.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Silent Jay - Numba One.wav,Music,86.1,A major,11B,6,Intro -> Drop,249.6,44100,24,2,62.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Numba One.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Sergik x Slick Floyd x Connectjon - Shake.wav,Music,86.1,F# minor,11A,6,Drop,184.32,44100,24,2,46.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Slick Floyd x Connectjon - Shake.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
BUBBLES NEW.wav,Music,143.6,A major,11B,5,Intro -> Verse -> Drop,150.93,48000,24,2,41.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/BUBBLES NEW.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK x BeJanis - Hydrate.wav,Music,86.1,D major,10B,6,Intro -> Drop,265.16,44100,24,2,66.91,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x BeJanis - Hydrate.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
jake alexander v1.aif,Music,123.0,A minor,8A,5,Intro -> Chorus -> Drop,164.21,44100,24,2,41.44,aif,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/jake alexander v1.aif,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Mateo Haze - Who's Boss 2_.wav,Music,117.5,D major,10B,5,Intro -> Drop,188.28,44100,24,2,47.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Mateo Haze - Who's Boss 2_.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - I Got.wav,Music,123.0,A minor,8A,7,Drop,218.71,44100,24,2,55.19,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - I Got.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
Cloupour JFears.wav,Music,78.3,D major,10B,6,Intro -> Verse -> Drop,164.11,44100,0,2,55.22,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cloupour JFears.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Want What I Want.wav,Music,86.1,D major,10B,7,Drop,236.13,44100,24,2,59.59,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Want What I Want.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
9.24.24 What A Day 120 BPM Note F.aif,Music,123.0,F major,7B,6,Drop -> Chorus -> Drop,98.0,48000,24,2,26.92,aif,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/9.24.24 What A Day 120 BPM Note F.aif,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
No Beer Here (0).wav,Music,92.3,D minor,7A,6,Chorus -> Drop,111.63,44100,0,2,18.78,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/No Beer Here (0).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
This is the sound.wav,Music,123.0,D major,10B,7,Chorus -> Drop,241.95,44100,0,2,40.7,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/This is the sound.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Free v3.wav,Music,86.1,A major,11B,6,Drop,259.05,44100,24,2,65.37,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Free v3.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK x Silent Jay - Late Morning.wav,Music,129.2,D major,10B,6,Drop,106.67,44100,0,2,17.94,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Late Morning.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
EAT THE ACID V2.wav,Music,86.1,A minor,8A,7,Chorus -> Drop,241.37,44100,0,2,40.61,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/EAT THE ACID V2.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Gone Floating.wav,Music,117.5,D major,10B,6,Drop,312.0,44100,0,2,52.49,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Gone Floating.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Wiggly.wav,Music,123.0,A major,11B,7,Drop,222.44,44100,0,2,37.42,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Wiggly.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Going Gone.wav,Music,86.1,A major,11B,6,Chorus -> Drop,255.48,44100,24,2,64.47,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Going Gone.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Everyday (Dub Reggae SRGFLiP).wav,Music,147.7,A major,11B,6,Intro -> Chorus -> Drop,238.39,44100,24,2,60.16,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Everyday (Dub Reggae SRGFLiP).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,workout,"gym,running,cycling,HIIT"
WHAT THE FUCK.mp3,Music,86.1,A major,11B,4,Intro -> Chorus -> Drop,295.39,44100,0,2,11.27,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/WHAT THE FUCK.mp3,chill,0.7,0.4,"relaxed,laid-back,comfortable",study,0.85,0.6,0.4,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
upcoming (0).wav,Music,99.4,E major,12B,6,Chorus -> Drop,114.63,44100,0,2,19.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/upcoming (0).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Arza - Art Of Dying 127bpm prod. Arza E♭ min.wav,Music,89.1,F# major,2B,5,Intro -> Drop,83.15,48000,0,2,30.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Arza - Art Of Dying 127bpm prod. Arza E♭ min.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
Dmtree - Overgrown.wav,Music,92.3,G# minor,1A,6,Intro -> Verse -> Drop,172.29,44100,0,2,31.21,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dmtree - Overgrown.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK X Karlido x Joc - Love in Ibiza.wav,Music,86.1,D major,10B,6,Drop -> Chorus,209.03,44100,24,2,52.75,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK X Karlido x Joc - Love in Ibiza.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Drifter.wav,Music,143.6,D major,10B,8,Chorus -> Drop,289.5,44100,24,2,73.05,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Drifter.wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,workout,"gym,running,cycling,HIIT"
SERGIK x Frank Terry - Cozy Cats.wav,Music,86.1,G major,9B,7,Drop,282.58,44100,24,2,71.31,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Frank Terry - Cozy Cats.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SEERGIK - All The Vibes.wav,Music,86.1,D major,10B,7,Intro -> Drop,276.19,44100,24,2,69.69,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SEERGIK - All The Vibes.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Morpheus.wav,Music,123.0,A major,11B,5,Intro -> Chorus -> Drop,236.13,44100,24,2,59.59,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Morpheus.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Can You Dance.wav,Music,123.0,A minor,8A,8,Chorus -> Drop,305.81,44100,24,2,77.17,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Can You Dance.wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
phase distortion v3.wav,Music,89.1,D major,10B,5,Chorus -> Drop,284.44,44100,0,2,47.85,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/phase distortion v3.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
Arza - Hologram G min.wav,Music,92.3,G minor,6A,5,Chorus -> Drop,58.63,44100,0,2,19.73,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Arza - Hologram G min.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
