filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path,emotional_category,valence,arousal,emotions,psychological_effect,focus,relaxation,motivation,timbre,texture,spatial,dynamics,primary_intent,use_cases
SERGIK - 6 Hours In v2.mp3,Music,129.2,D major,10B,6,Intro -> Chorus -> Drop,228.68,44100,0,2,8.72,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - 6 Hours In v2.mp3,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Oooh Ah Eee.wav,Music,123.0,A minor,8A,6,Drop,216.77,44100,24,2,54.7,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Oooh Ah Eee.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Francisco Josue - Let Me.2.wav,Music,86.1,A major,11B,6,Drop,247.74,44100,0,2,41.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Francisco Josue - Let Me.2.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK x OG Coco - Tell Em Heal.wav,Music,92.3,D minor,7A,6,Intro -> Drop,211.97,44100,24,2,53.49,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OG Coco - Tell Em Heal.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
You Said That (0).wav,Music,89.1,A major,11B,7,Chorus -> Drop,121.38,44100,0,2,20.42,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/You Said That (0).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
long ago (1).wav,Music,89.1,A major,11B,5,Chorus -> Drop,153.04,44100,0,2,25.75,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/long ago (1).wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK - Happiness.wav,Music,86.1,A minor,8A,7,Intro -> Verse -> Drop,241.89,48000,24,2,66.44,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Happiness.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
Dream Edge_2.mp3,Music,99.4,F# minor,11A,5,Unknown,2.92,44100,0,2,0.11,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dream Edge_2.mp3,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
Trip Hop 3.mp3,Music,152.0,D major,10B,6,Chorus -> Drop,164.26,44100,0,2,6.41,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Trip Hop 3.mp3,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,workout,"gym,running,cycling,HIIT"
SERGIK x LODIN - Mercy (Club Master).wav,Music,123.0,A major,11B,6,Chorus -> Drop,296.59,44100,24,2,74.84,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Mercy (Club Master).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,Music,129.2,D major,10B,6,Chorus -> Drop,269.54,44100,24,2,68.02,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
