filename,artist_folder,bpm,key,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
TombStoned (0).wav,Unknown Artist,,,192.0,44100,0,2,64.6,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/TombStoned (0).wav
SERGIK - Back to The Basics.wav,Unknown Artist,,,286.45,44100,24,2,72.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics.wav
SERGIK - Mind Rollercoaster.wav,Unknown Artist,,,249.6,44100,24,2,62.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Mind Rollercoaster.wav
Stranger wings 140.wav,Unknown Artist,,,54.86,44100,0,2,9.23,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Stranger wings 140.wav
Janis & The Planets x SERGIK - Searching.wav,Unknown Artist,,,174.55,48000,24,2,47.94,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Janis & The Planets x SERGIK - Searching.wav
SERGIK - On and On(Badu Remix).wav,Unknown Artist,,,251.59,44100,24,2,63.49,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On and On(Badu Remix).wav
SERGIK x Mateo Haze - Who's Boss_.wav,Unknown Artist,,,188.28,44100,24,2,47.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Mateo Haze - Who's Boss_.wav
SERGIK - Man On A Journey.wav,Unknown Artist,,,260.15,44100,24,2,65.65,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Man On A Journey.wav
Another Day.wav,Unknown Artist,,,141.64,44100,0,2,23.83,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Another Day.wav
SERGIK x Stan The Guitarman - Highway 1.wav,Unknown Artist,,,251.43,44100,24,2,63.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Stan The Guitarman - Highway 1.wav
SERGIK - 6 Hours In v2.mp3,Unknown Artist,,,228.68,44100,0,2,8.72,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - 6 Hours In v2.mp3
SERGIK - Oooh Ah Eee.wav,Unknown Artist,,,216.77,44100,24,2,54.7,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Oooh Ah Eee.wav
SERGIK x Francisco Josue - Let Me.2.wav,Unknown Artist,,,247.74,44100,0,2,41.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Francisco Josue - Let Me.2.wav
SERGIK x OG Coco - Tell Em Heal.wav,Unknown Artist,,,211.97,44100,24,2,53.49,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OG Coco - Tell Em Heal.wav
You Said That (0).wav,Unknown Artist,,,121.38,44100,0,2,20.42,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/You Said That (0).wav
long ago (1).wav,Unknown Artist,,,153.04,44100,0,2,25.75,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/long ago (1).wav
SERGIK - Happiness.wav,Unknown Artist,,,241.89,48000,24,2,66.44,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Happiness.wav
Dream Edge_2.mp3,Unknown Artist,,,2.92,44100,0,2,0.11,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dream Edge_2.mp3
