filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
SERGIK x Janis & the Planets - Levitating.wav,Music,86.1,A minor,8A,6,Intro -> Chorus -> Drop,227.29,44100,24,2,57.36,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Janis & the Planets - Levitating.wav
SERGIK x Lugh Haurie - Zoned.wav,Music,129.2,G major,9B,7,Intro -> Drop,200.31,44100,24,2,50.55,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Lugh Haurie - Zoned.wav
SERGIK x Sean Hart x Sean Watson x Janis - Snap Back1.wav,Music,143.6,D major,10B,6,Chorus -> Drop,349.09,44100,24,2,88.09,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart x Sean Watson x Janis - Snap Back1.wav
SERGIK x BeJanis - Feel The Rhythm.wav,Music,129.2,A minor,8A,5,Drop -> Chorus,260.95,44100,24,2,65.85,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x BeJanis - Feel The Rhythm.wav
SERGIK - Farewell.wav,Music,86.1,A minor,8A,6,Drop,240.0,44100,24,2,60.56,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Farewell.wav
SERGIK x Bones - Momentum.wav,Music,86.1,F major,7B,7,Intro -> Chorus -> Drop,197.14,44100,24,2,49.75,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Bones - Momentum.wav
SERGIK x Tibbs - Prosper.wav,Music,117.5,A major,11B,6,Intro -> Drop,332.31,44100,24,2,83.86,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Tibbs - Prosper.wav
SERGIK - Freaks n Beats.wav,Music,86.1,D major,10B,6,Drop -> Chorus,230.4,44100,24,2,58.14,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Freaks n Beats.wav
SERGIK - Oye Mami.wav,Music,86.1,D major,10B,6,Drop,253.44,48000,24,2,69.61,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Oye Mami.wav
SERGIK X WWW - Muzik.wav,Music,147.7,D major,10B,7,Drop,207.69,44100,24,2,52.41,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK X WWW - Muzik.wav
SERGIK - 6 Hours In.wav,Music,86.1,D major,10B,6,Intro -> Chorus -> Drop,232.32,44100,24,2,58.62,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - 6 Hours In.wav
SERGIK - Tell Her.wav,Music,117.5,A minor,8A,7,Intro -> Drop,280.68,44100,24,2,70.83,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Tell Her.wav
Hip Hop 8.mp3,Music,89.1,D major,10B,6,Chorus -> Drop,157.1,44100,0,2,5.99,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 8.mp3
Arza - Jumpin Out The Jet 150bpm B min.wav,Music,76.0,F# minor,11A,6,Drop -> Chorus -> Drop,64.0,44100,0,2,21.53,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Arza - Jumpin Out The Jet 150bpm B min.wav
SERGIK - Its a Feeling.wav,Music,123.0,D minor,7A,6,Drop,174.1,44100,24,2,43.93,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Its a Feeling.wav
SERGIK x MEUGEN - Lucid.wav,Music,147.7,A major,11B,5,Drop,108.42,44100,0,2,18.24,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x MEUGEN - Lucid.wav
OMNOM x SERGIK - CONTRABAND.wav,Music,86.1,C major,8B,7,Intro -> Drop,247.5,44100,24,2,62.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/OMNOM x SERGIK - CONTRABAND.wav
SERGIK - Party People.wav,Music,129.2,A minor,8A,6,Drop,241.89,44100,0,2,40.69,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Party People.wav
SERGIK - Get it Poppn.wav,Music,129.2,D major,10B,7,Drop,217.14,44100,0,2,36.53,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Get it Poppn.wav
Sergik x Grund - Oh My.wav,Music,86.1,A minor,8A,6,Chorus -> Drop,199.68,44100,0,2,33.59,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Grund - Oh My.wav
Sergik x Silent Jay - We All Turnt.wav,Music,86.1,D major,10B,7,Drop,220.16,44100,0,2,37.04,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Silent Jay - We All Turnt.wav
SERGIK - Take.wav,Music,86.1,D major,10B,7,Drop,247.68,44100,24,2,62.5,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Take.wav
Hip Hop 5.mp3,Music,89.1,E minor,9A,6,Drop,139.68,44100,0,2,5.33,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 5.mp3
SERGIK - Uninvited v2.wav,Music,86.1,D major,10B,6,Drop -> Chorus,280.95,44100,24,2,70.9,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Uninvited v2.wav
SERGIK - Not the Type.wav,Music,123.0,A minor,8A,7,Drop,204.59,44100,24,2,51.63,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Not the Type.wav
