name,collaborator,size_mb,modified,path
UNDRGRND Sounds - TS2 - Stabs Formats,,0.03,2019-01-10,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/UNDRGRND The Bundle/UNDRGRND Sounds - Techno Stabs 2 - Wav/TS2_Stabs/Stabs Formats/Ableton/UNDRGRND Sounds - TS2 - Stabs Formats Project/UNDRGRND Sounds - TS2 - Stabs Formats.als
W. A. Production - Tech House Angle,,0.76,2019-02-10,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/W. A. Production - Tech House Angle.als
Kit 1 [2019-02-05 173242],,0.66,2019-02-05,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 173242].als
Kit 1 [2019-02-05 182208],,0.68,2019-02-05,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 182208].als
Kit 1 [2019-02-05 194741],,0.71,2019-02-05,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 194741].als
Kit 1 [2019-02-09 174304],,0.75,2019-02-05,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-09 174304].als
Kit 1 [2019-02-09 174828],,0.76,2019-02-09,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-09 174828].als
Kit 1 [2019-02-10 011332],,0.76,2019-02-09,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 011332].als
Kit 1 [2019-02-10 152831],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 152831].als
Kit 1 [2019-02-10 171821],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 171821].als
